seasonal,trend,remainder,Date
1037.5529960109286,31099.456455075597,1601.1572155801405,2018-03-21
921.3356996802454,31026.402844679746,-16.321877693324495,2018-03-22
639.6503363295258,30836.47379382324,-700.165796819434,2018-03-23
-1678.9338712806623,30646.544742966733,-751.3192050194011,2018-03-24
-2330.046098941667,30237.835865716457,734.5852332252107,2018-03-25
313.5175775448375,29829.126988466185,544.06376732231,2018-03-26
1096.9234094816782,29194.7914775108,1191.2851130075214,2018-03-27
1037.5529960109286,28560.45596655541,434.8243707669935,2018-03-28
921.3356996802454,28029.34450713591,-1027.388540149488,2018-03-29
639.6503363295258,27498.23304771641,-1946.8833840459374,2018-03-30
-1678.9338712806623,27500.773805025747,-607.7982670784149,2018-03-31
-2330.046098941667,27503.314562335087,-908.2684633934186,2018-04-01
313.5175775448375,27875.204068073443,825.4866877150525,2018-04-02
1096.9234094816782,28247.093573811802,1230.4413500398514,2018-04-03
1037.5529960109286,28522.378423385577,-648.8480860631716,2018-04-04
921.3356996802454,28797.663272959355,484.83436069373056,2018-04-05
639.6503363295258,28928.932537403874,-414.74954040006924,2018-04-06
-1678.9338712806623,29060.201801848394,-518.7679305677302,2018-04-07
-2330.046098941667,28955.014817381496,822.0312815601719,2018-04-08
313.5175775448375,28849.827832914594,1474.1545895405688,2018-04-09
1096.9234094816782,28434.937421455954,78.430835729035607,2018-04-10
1037.5529960109286,28020.047009997314,353.8999939917594,2018-04-11
921.3356996802454,27669.656946809508,-780.0343131564223,2018-04-12
639.6503363295258,27319.2668836217,-1495.3755532845607,2018-04-13
-1678.9338712806623,27383.80101146726,-737.9088068532656,2018-04-14
-2330.046098941667,27448.33513931282,8.710959628846467,2018-04-15
313.5175775448375,27684.49703741051,660.6103850446525,2018-04-16
1096.9234094816782,27920.658935508196,907.2509883434577,2018-04-17
1037.5529960109286,27853.200099358575,-1.794762036170141,2018-04-18
921.3356996802454,27785.74126320895,242.88137044413452,2018-04-19
639.6503363295258,27381.132558200858,502.00877213628337,2018-04-20
-1678.9338712806623,26976.523853192768,201.57668475456376,2018-04-21
-2330.046098941667,26566.597803979414,-357.6767050377457,2018-04-22
313.5175775448375,26156.67175476606,-349.06433231089613,2018-04-23
1096.9234094816782,25880.658835159484,-472.4155779744942,2018-04-24
1037.5529960109286,25604.64591555291,317.75942176949684,2018-04-25
921.3356996802454,25603.458868012505,-677.7529010260841,2018-04-26
639.6503363295258,25602.271820472102,-75.04715680162917,2018-04-27
-1678.9338712806623,25788.94601355559,-332.30380894159316,2018-04-28
-2330.046098941667,25975.620206639076,-103.6574410307403,2018-04-29
313.5175775448375,26728.663974595176,-146.84821880668096,2018-04-30
1096.9234094816782,27481.707742551276,-1951.7144853662867,2018-05-01
1037.5529960109286,27972.858752647488,-660.7450819917467,2018-05-02
921.3356996802454,28464.009762743703,2844.1962042427185,2018-05-03
639.6503363295258,28385.273756649993,3950.3675736871446,2018-05-04
-1678.9338712806623,28306.53775055628,-464.4788792756153,2018-05-05
-2330.046098941667,27705.10275691892,-1578.973324643921,2018-05-06
313.5175775448375,27103.667763281563,-776.6436741597317,2018-05-07
1096.9234094816782,26837.226960480613,-928.4003699622917,2018-05-08
1037.5529960109286,26570.786157679664,-166.63082035725893,2018-05-09
921.3356996802454,26707.057873693702,67.43975995938308,2018-05-10
639.6503363295258,26843.329589707744,382.35340729606105,2018-05-11
-1678.9338712806623,27176.683826632965,164.33337798103094,2018-05-12
-2330.046098941667,27510.03806355819,-1178.4919646165217,2018-05-13
313.5175775448375,27587.10505478971,-582.7892990012151,2018-05-14
1096.9234094816782,27664.17204602123,2720.5712111637586,2018-05-15
1037.5529960109286,27709.395822219827,302.884515102578,2018-05-16
921.3356996802454,27754.619598418423,-640.7469647653379,2018-05-17
639.6503363295258,27780.349081153327,-1192.1660841495213,2018-05-18
-1678.9338712806623,27806.078563888226,-1406.8530259408944,2018-05-19
-2330.046098941667,28064.20830146458,1412.1711308104204,2018-05-20
313.5175775448375,28322.338039040933,979.6027167475622,2018-05-21
