Date,Actual,ARIMA_Fitted,ETS_Fitted
2018-01-23,29773.833333333332,29303.180389185578,30583.265015664576
2018-01-24,32071.458333333332,31025.47316839925,29841.146953295945
2018-01-25,34302.666666666664,32171.464588638763,31896.72140142267
2018-01-26,34354.958333333336,33372.64432589356,34042.49765650637
2018-01-27,29843.791666666668,33026.30689618179,32339.13082191184
2018-01-28,27356.541666666668,30007.86764062609,29195.956780909488
2018-01-29,31443.833333333332,28708.371881854964,29676.59297326892
2018-01-30,34895.541666666664,32144.18128026088,32154.79767035463
2018-01-31,37180.125,35480.634940267715,34962.80342263189
2018-02-01,33615.458333333336,37253.08115581304,37005.40698475596
2018-02-02,35327.125,31677.526630154316,33355.66169204257
2018-02-03,35505.5,34293.75079191879,33310.849263453296
2018-02-04,32805.666666666664,33303.79706279411,34857.259700620154
2018-02-05,34204.791666666664,32879.58796879779,35126.100946170285
2018-02-06,35783.833333333336,34949.3827312504,34916.12373021586
2018-02-07,35824.75,35885.379332697456,35851.23078022854
2018-02-08,35158.125,34690.53175383214,35649.69514426961
2018-02-09,35460.125,35224.029569331855,34898.574782961565
2018-02-10,30496.708333333332,33861.837326308894,33444.01329232489
2018-02-11,27919.916666666668,28458.197439352858,29848.55883683444
2018-02-12,30144.791666666668,30125.139167852507,30240.451932566975
2018-02-13,33038.458333333336,31724.62140809162,30856.220173533995
2018-02-14,31439.916666666668,33957.97262997557,33105.634049698696
2018-02-15,29138.375,30067.516730870346,31264.979862382083
2018-02-16,28378.958333333332,30460.494275803565,28879.094650226718
2018-02-17,30211.708333333332,27762.364038613996,26362.601440165756
2018-02-18,28892.041666666668,30420.70571204704,29562.97817218302
2018-02-19,31447.75,29344.452704950163,31212.63437710585
2018-02-20,28487.791666666668,33438.77425827427,32159.373690515007
2018-02-21,27572.5,27200.099354385424,28555.16964256008
2018-02-22,28859.208333333332,28677.52175450137,27397.448357063073
2018-02-23,30894.333333333332,29377.38867182852,28599.7305672122
2018-02-24,27537,30634.672949434538,28878.131781813714
2018-02-25,27246.041666666668,26310.051725680267,26888.338037380316
2018-02-26,29406.833333333332,29670.30293118238,29566.621887453137
2018-02-27,29694.041666666668,29474.318909394533,30118.10495564426
2018-02-28,28915.166666666668,29441.03312927963,29761.36300597427
2018-03-01,28720.208333333332,28918.966040405583,28740.346427108885
2018-03-02,30858.083333333332,29280.728120831,28460.962961137597
2018-03-03,28436.791666666668,30976.67124944198,28841.50691018993
2018-03-04,27950.583333333332,27388.624568862346,27788.20597583864
2018-03-05,31451.458333333332,29993.896528841637,30271.131286484262
2018-03-06,31596.291666666668,31074.3904561565,32162.56881905624
2018-03-07,32257.333333333332,30789.548917071133,31663.584964433572
2018-03-08,31934.208333333332,32517.191420491432,32082.45126049242
2018-03-09,32586.833333333332,32094.87000705985,31675.21822113928
2018-03-10,30027.458333333332,31119.215097503245,30570.125200367183
2018-03-11,28337.739130434784,29368.582311024154,29378.943367020944
2018-03-12,32489.166666666668,29656.252410618337,30658.51007760136
2018-03-13,32829.916666666664,33313.975861139385,33200.036676005526
2018-03-14,33399.083333333336,31796.596217047103,32897.30657840792
2018-03-15,32337.208333333332,33395.12336478142,33224.13609761857
2018-03-16,31942.166666666668,32142.891515452502,32078.398711018446
2018-03-17,30140.833333333332,30688.436914769227,29925.41797944957
2018-03-18,28018.416666666668,29563.294686968868,29492.192214597908
2018-03-19,30023.958333333332,29668.42802174829,30339.519047569913
2018-03-20,33334.666666666664,30823.14663607135,30734.823283169353
2018-03-21,33738.166666666664,34015.62438488037,33401.845626168106
2018-03-22,31931.416666666668,32592.772832803807,33563.09680180768
2018-03-23,30775.958333333332,31848.59696094101,31672.757142666793
2018-03-24,28216.291666666668,29736.807702662278,28759.321318810093
2018-03-25,28642.375,27430.461328533915,27567.557363088556
2018-03-26,30686.708333333332,30916.732417902997,30963.337472639574
2018-03-27,31483,31384.420536307163,31397.86171301708
2018-03-28,30032.833333333332,31920.208693860102,31550.2046288153
2018-03-29,27923.291666666668,29313.338240361914,29857.7523615315
2018-03-30,26191,28144.538355587054,27664.736251902374
2018-03-31,25214.041666666668,25850.71958470479,24174.45642236079
2018-04-01,24265,25958.12347542571,24565.31059263068
2018-04-02,29014.208333333332,25966.51268231086,26585.965110889974
2018-04-03,30574.458333333332,31598.830709820442,29725.126240459562
2018-04-04,28911.083333333332,29862.547596889566,30641.4254952762
2018-04-05,30203.833333333332,28456.248618438105,28735.981934439307
2018-04-06,29153.833333333332,30413.588850859473,29944.982299665993
2018-04-07,26862.5,27708.594540090704,27137.473201102373
2018-04-08,27447,27190.689732772615,26213.766637255576
2018-04-09,30637.5,29587.090647859663,29768.084646132353
2018-04-10,29610.291666666668,31342.560972864037,31348.416192098382
2018-04-11,29411.5,28554.42995546207,29677.260104977366
2018-04-12,27810.958333333332,30020.163807259392,29236.572157665705
2018-04-13,26463.541666666668,26817.02345194113,27552.171475068586
2018-04-14,24966.958333333332,26551.763350055262,24447.26318060177
2018-04-15,25127,25310.821717550632,24318.296368060568
2018-04-16,28658.625,27827.31432667152,27448.090815358584
2018-04-17,29924.833333333332,29544.48192726008,29369.245450952603
2018-04-18,28888.958333333332,29670.101654875987,29991.718971566403
2018-04-19,28949.958333333332,28873.934251626328,28713.998277450915
2018-04-20,28522.791666666668,28833.4196311146,28691.038333757453
2018-04-21,25499.166666666668,27743.179909061837,26506.581987305566
2018-04-22,23878.875,25677.476192096445,24850.68710484281
2018-04-23,26121.125,26271.528447851204,26200.184990705682
2018-04-24,26505.166666666668,27280.694184629698,26831.809337258204
2018-04-25,26959.958333333332,26832.470394963842,26571.974649048974
2018-04-26,25847.041666666668,27536.67650961123,26784.982747569615
2018-04-27,26166.875,25803.562504211113,25588.199072965243
2018-04-28,23777.708333333332,26205.826134869763,24150.506132695937
2018-04-29,23541.916666666668,23631.764144774133,23129.168583901424
2018-04-30,26895.333333333332,26149.685236140707,25863.17707607521
2018-05-01,26626.916666666668,28110.438450743273,27605.881204477097
2018-05-02,28349.666666666668,26547.111625563008,26693.861844364892
2018-05-03,32229.541666666668,29293.919159635345,28174.43075087785
2018-05-04,32975.291666666664,32291.0383324679,31970.349517494415
2018-05-05,26163.125,30730.18945761046,30958.78456524295
2018-05-06,23796.083333333332,24711.861814828364,25515.108369711557
2018-05-07,26640.541666666668,26250.969878852895,26117.620025159995
2018-05-08,27005.75,27269.33119920926,27350.93903429717
2018-05-09,27441.708333333332,27737.83342945821,27072.89570519178
2018-05-10,27695.833333333332,28641.516376130166,27266.842306565846
2018-05-11,27865.333333333332,28238.27945069605,27436.699632562413
2018-05-12,25662.083333333332,26316.973684034732,25848.302478140617
2018-05-13,24001.5,25515.431925999248,25013.912117860396
2018-05-14,27317.833333333332,25824.69342122259,26323.190511448935
2018-05-15,31481.666666666668,28448.435908696025,28028.096259351998
2018-05-16,29049.833333333332,32237.8166915732,31548.502320623473
2018-05-17,28035.208333333332,28699.397494250356,28875.261426357258
2018-05-18,27227.833333333332,29160.81968642363,27776.202092967345
2018-05-19,24720.291666666668,25342.47392643497,25210.83897985418
2018-05-20,27146.333333333332,24586.813597960423,24072.068179713908
2018-05-21,29615.458333333332,29727.57790639512,29467.814527973307
2018-05-22,28450,30156.951109430243,30326.05292238799
2018-05-23,29923.125,27931.914712516736,28516.774242985775
2018-05-24,30461.5,30682.924938634762,29748.327087076792
2018-05-25,31925.541666666668,29657.93532274534,30202.366961228396
2018-05-26,33316.916666666664,31113.585902594117,29908.324897523835
2018-05-27,28984.208333333332,32914.88270953652,32668.658907792862
2018-05-28,25457.458333333332,28566.025274890795,31306.075085532524
2018-05-29,32802.083333333336,26744.91236147752,26168.452419317528
2018-05-30,32784.833333333336,34424.94664253252,32868.331781331304
2018-05-31,31445,30584.236879080177,32610.115591953465
2018-06-01,34767.416666666664,32061.63004299883,31186.156943614656
2018-06-02,33292.125,34497.427846330655,32750.182227123594
2018-06-03,26070.291666666668,31161.864995948854,32643.443990473737
2018-06-04,27152.75,25289.13250599504,28392.231625165714
2018-06-05,28280.958333333332,30402.981989643933,27864.532676151666
2018-06-06,27839,28021.29528995588,28347.157843397177
2018-06-07,28615.708333333332,28685.197422819736,27664.216463807486
2018-06-08,30924.625,30462.99346378646,28357.12857029511
2018-06-09,30465.583333333332,31228.408552182034,28907.187643078214
2018-06-10,27027.458333333332,27955.026874498988,29816.08674073111
2018-06-11,27287.958333333332,26842.30403170077,29349.55290654086
2018-06-12,27915.083333333332,29851.81509888672,27999.989649718787
2018-06-13,31366.75,27723.490452698323,27981.240498094452
2018-06-14,33066.708333333336,32594.03842091125,31191.721647127866
2018-06-15,30615.041666666668,33475.75333960895,32808.197834449435
2018-06-16,29337.041666666668,29456.383261634335,28597.98140791781
2018-06-17,32630,27859.76547502711,28687.19149333486
2018-06-18,40541.291666666664,33568.89322907613,34951.49119335631
2018-06-19,40480.583333333336,40026.927154596866,41252.75248703669
2018-06-20,35744.583333333336,38173.897977887624,40547.15753965981
2018-06-21,35393.166666666664,34437.0554132929,35570.2261402118
2018-06-22,31334.333333333332,34966.28530153747,35134.45439772798
2018-06-23,27684.875,29290.04302424421,29317.728547500214
2018-06-24,31802.708333333332,28279.548475851392,27035.584378973475
2018-06-25,33504.125,34829.357215954624,34124.28186228526
2018-06-26,31780.416666666668,32361.32570715873,34215.57176778614
2018-06-27,31319.75,31868.51981583075,31846.753799622664
2018-06-28,36902.333333333336,31862.521712476577,31145.42707783619
2018-06-29,38875.875,36013.053836003244,36642.66159921641
2018-06-30,38415.541666666664,36327.72106149358,36858.88138906941
2018-07-01,40584.833333333336,38649.87651865363,37766.572362397535
2018-07-02,45218.125,41281.77966322323,42906.06244967935
2018-07-03,45258.041666666664,43227.43393418276,45929.09518005757
2018-07-04,39652.791666666664,41547.92942651734,45324.39290599541
